results_type,environment,inter_site_distance_m,site_area_km2,sites_per_km2,frequency_GHz,bandwidth_MHz,number_of_sectors,generation,ant_type,transmission_type,path_loss_dB,received_power_dBm,interference_dBm,sinr_dB,spectral_efficiency_bps_hz,capacity_mbps,capacity_mbps_km2
10_percentile,urban,8000,55.42562584220407,0.018042195912175808,3.5,50,3,5G,macro,8x8,147.0,-115.0,-112.25570701687732,-19.51,0.0,0.0,0.0
10_percentile,urban,8000,55.42562584220407,0.018042195912175808,3.7,50,3,5G,macro,8x8,150.0,-117.0,-111.99999782853303,-21.51,0.0,0.0,0.0
10_percentile,urban,8000,55.42562584220407,0.018042195912175808,26,500,3,5G,macro,8x8,167.0,-134.0,-128.9978339382435,-48.50999999999999,0.0,0.0,0.0
10_percentile,urban,8800,67.06500726906692,0.01491090571254199,0.7,10,3,5G,macro,8x8,138.0,-105.0,-100.25570701687732,-9.74,0.0,0.0,0.0
10_percentile,urban,8800,67.06500726906692,0.01491090571254199,0.8,10,3,4G,macro,1x1,140.0,-108.0,-99.2625613914132,-11.74,0.0,0.0,0.0
10_percentile,urban,8800,67.06500726906692,0.01491090571254199,2.6,10,3,4G,macro,1x1,148.0,-115.0,-109.99783393824349,-12.95,0.0,0.0,0.0
10_percentile,urban,8800,67.06500726906692,0.01491090571254199,3.5,50,3,5G,macro,8x8,149.0,-117.0,-113.25570701687732,-21.51,0.0,0.0,0.0
10_percentile,urban,8800,67.06500726906692,0.01491090571254199,3.7,50,3,5G,macro,8x8,151.0,-119.0,-112.99783393824347,-23.51,0.0,0.0,0.0
10_percentile,urban,8800,67.06500726906692,0.01491090571254199,26,500,3,5G,macro,8x8,168.0,-135.0,-129.9978339382435,-49.51,0.0,0.0,0.0
10_percentile,urban,9600,79.81290121277387,0.012529302716788754,0.7,10,3,5G,macro,8x8,139.0,-106.0,-100.99978290702776,-10.74,0.0,0.0,0.0
10_percentile,urban,9600,79.81290121277387,0.012529302716788754,0.8,10,3,4G,macro,1x1,141.0,-109.0,-100.25924267669222,-12.74,0.0,0.0,0.0
10_percentile,urban,9600,79.81290121277387,0.012529302716788754,2.6,10,3,4G,macro,1x1,150.0,-117.0,-110.36682076652266,-14.52,0.0,0.0,0.0
10_percentile,urban,9600,79.81290121277387,0.012529302716788754,3.5,50,3,5G,macro,8x8,150.0,-118.0,-113.99978290702776,-22.51,0.0,0.0,0.0
10_percentile,urban,9600,79.81290121277387,0.012529302716788754,3.7,50,3,5G,macro,8x8,153.0,-120.0,-113.99783393824349,-24.51,0.0,0.0,0.0
10_percentile,urban,9600,79.81290121277387,0.012529302716788754,26,500,3,5G,macro,8x8,170.0,-137.0,-130.36682076652266,-51.51,0.0,0.0,0.0
10_percentile,urban,10400,93.66930767332488,0.010675855569334796,0.7,10,3,5G,macro,8x8,141.0,-107.0,-101.99978290702776,-10.7,0.0,0.0,0.0
