results_type,environment,inter_site_distance_m,site_area_km2,sites_per_km2,frequency_GHz,bandwidth_MHz,number_of_sectors,generation,ant_type,path_loss_dB,received_power_dBm,interference_dBm,sinr_dB,spectral_efficiency_bps_hz,capacity_mbps,capacity_mbps_km2
10_percentile,urban,2400,4.988306325798367,0.20046884346862007,3.5,40,3,5G,macro,126.0,-94.0,-106.26326593189265,2.399,1.8703500000000008,74.81400000000004,44.99362816578636
10_percentile,urban,2400,4.988306325798367,0.20046884346862007,3.7,40,3,5G,macro,129.0,-96.0,-106.25959783098372,0.07,0.877,35.08,21.097341086638664
10_percentile,urban,2400,4.988306325798367,0.20046884346862007,26,200,3,5G,macro,146.0,-113.0,-122.99978290702776,-23.53,0.0,0.0,0.0
10_percentile,urban,3200,8.868100134752652,0.11276372445109878,0.7,10,3,5G,macro,120.0,-87.0,-98.99978290702776,3.3,1.9141,19.141,6.4752313491554165
10_percentile,urban,3200,8.868100134752652,0.11276372445109878,0.8,10,3,4G,macro,123.0,-92.0,-97.26326593189265,-0.7,0.377,3.77,1.2753577235419216
10_percentile,urban,3200,8.868100134752652,0.11276372445109878,1.8,10,3,4G,macro,129.0,-96.0,-106.26326593189265,2.3,0.6016,6.016,2.0351596988934215
10_percentile,urban,3200,8.868100134752652,0.11276372445109878,2.6,10,3,4G,macro,131.0,-98.0,-107.99978290702776,2.269,0.6016,6.016,2.0351596988934215
10_percentile,urban,3200,8.868100134752652,0.11276372445109878,3.5,40,3,5G,macro,131.0,-99.0,-111.26326593189265,-2.54,0.377,15.08,5.101430894167686
10_percentile,urban,3200,8.868100134752652,0.11276372445109878,3.7,40,3,5G,macro,134.0,-101.0,-111.25959783098372,-4.54,0.377,15.08,5.101430894167686
10_percentile,urban,3200,8.868100134752652,0.11276372445109878,26,200,3,5G,macro,151.0,-118.0,-127.99978290702776,-28.53,0.0,0.0,0.0
10_percentile,urban,4000,13.856406460551018,0.07216878364870323,0.7,10,3,5G,macro,124.0,-91.0,-102.29627884007297,2.82,1.9141,19.141,4.144148063459885
10_percentile,urban,4000,13.856406460551018,0.07216878364870323,0.8,10,3,4G,macro,127.0,-95.0,-101.25959783098372,-0.78,0.377,3.77,0.8162289430669122
10_percentile,urban,4000,13.856406460551018,0.07216878364870323,1.8,10,3,4G,macro,133.0,-100.0,-110.25959783098372,1.46,0.6016,6.016,1.3025022072919215
10_percentile,urban,4000,13.856406460551018,0.07216878364870323,2.6,10,3,4G,macro,135.0,-102.0,-111.26326593189265,0.48,0.6016,6.016,1.3025022072919215
10_percentile,urban,4000,13.856406460551018,0.07216878364870323,3.5,40,3,5G,macro,135.0,-103.0,-115.25959783098372,-6.54,0.1523,6.092,1.3189566899638272
10_percentile,urban,4000,13.856406460551018,0.07216878364870323,3.7,40,3,5G,macro,138.0,-105.0,-114.99978290702776,-8.54,0.0,0.0,0.0
10_percentile,urban,4000,13.856406460551018,0.07216878364870323,26,200,3,5G,macro,155.0,-122.0,-131.26326593189265,-32.53,0.0,0.0,0.0
10_percentile,urban,4800,19.953225303193467,0.05011721086715502,0.7,10,3,5G,macro,127.0,-94.0,-97.25570701687732,0.98,1.4766,14.766,2.220092206993347
10_percentile,urban,4800,19.953225303193467,0.05011721086715502,0.8,10,3,4G,macro,130.0,-98.0,-96.02023541938078,-2.801999999999999,0.2344,2.344,0.35242422681785224
10_percentile,urban,4800,19.953225303193467,0.05011721086715502,1.8,10,3,4G,macro,136.0,-103.0,-105.02023541938077,-1.52,0.377,3.77,0.5668256549075524
10_percentile,urban,4800,19.953225303193467,0.05011721086715502,2.6,10,3,4G,macro,138.0,-105.0,-106.25570701687732,-2.52,0.2344,2.344,0.35242422681785224
10_percentile,urban,4800,19.953225303193467,0.05011721086715502,3.5,40,3,5G,macro,138.0,-106.0,-110.02023541938077,-9.54,0.0,0.0,0.0
10_percentile,urban,4800,19.953225303193467,0.05011721086715502,3.7,40,3,5G,macro,141.0,-108.0,-109.3645320261587,-11.54,0.0,0.0,0.0
10_percentile,urban,4800,19.953225303193467,0.05011721086715502,26,200,3,5G,macro,158.0,-125.0,-126.25570701687732,-35.53,0.0,0.0,0.0
10_percentile,urban,5600,27.15855666267999,0.03682080798403226,0.7,10,3,5G,macro,130.0,-97.0,-97.25959783098372,-1.7,0.877,8.77,0.9687554580599076
10_percentile,urban,5600,27.15855666267999,0.03682080798403226,0.8,10,3,4G,macro,132.0,-101.0,-95.99802883512191,-5.7,0.1523,1.523,0.16823427167904667
10_percentile,urban,5600,27.15855666267999,0.03682080798403226,1.8,10,3,4G,macro,138.0,-105.0,-104.99978290702776,-3.5299999999999994,0.2344,2.344,0.2589239217437199
10_percentile,urban,5600,27.15855666267999,0.03682080798403226,2.6,10,3,4G,macro,140.0,-107.0,-106.25924267669222,-4.73,0.1523,1.523,0.16823427167904667
